key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,key_resp_2.keys,key_resp_2.rt
space,0.683000088,-0.350925926,0.002777778,1,0,0,14.19899988,1,0,16,4,1,15,1,1,-1,-1,1,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,1,180,3,2,4,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.155555556,-0.124074074,1,0,0,23.17499995,1,0,16,9,1,15,-1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,0,0,0,1,-1,-1,1,-1,1,90,7,2,1,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.310185185,0.27037037,1,0,0,31.70000005,1,0,16,12,1,15,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,1,1,1,45,7,2,4,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.012962963,-0.356481481,1,0,0,40.05799985,1,0,16,2,1,15,-1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,1,-1,-1,270,3,2,2,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.272222222,0.272222222,1,0,0,48.79999995,1,0,16,1,1,15,-1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,45,3,2,1,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.237962963,-0.223148148,1,0,0,57.24199986,1,0,16,3,1,15,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,1,1,-1,1,1,315,3,2,3,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.412037037,0.010185185,1,0,0,65.51600003,1,0,16,0,1,15,-1,1,1,0,0,0,1,1,1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,-1,1,180,3,2,0,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.276851852,0.241666667,1,0,0,74.35899997,1,0,16,8,1,15,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,0,0,0,1,1,-1,45,7,2,0,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,0.27962963,-0.176851852,1,0,0,83.16700006,1,0,16,11,1,15,-1,-1,1,1,1,1,0,0,0,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,315,7,2,3,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,,
,,-0.208333333,0.255555556,1,0,0,91.35899997,1,0,16,14,1,15,-1,1,-1,-1,-1,1,0,0,0,1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,135,7,2,6,maria,2021-04-09_04h24.28.802,task,3.2.3,Win32,60,,,,,,,,,,,,,
