Color0,Color45,Color90,Color135,Color180,Color225,Color270,Color315,Cueresp,target_angle,load,delay,trial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,pos0.started,pos0.stopped,pos45.started,pos45.stopped,pos90.started,pos90.stopped,pos135.started,pos135.stopped,pos180.started,pos180.stopped,pos225.started,pos225.stopped,pos270.started,pos270.stopped,pos315.started,pos315.stopped,response.started,response.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,pos0_2.started,pos0_2.stopped,pos45_2.started,pos45_2.stopped,pos90_2.started,pos90_2.stopped,pos135_2.started,pos135_2.stopped,pos180_2.started,pos180_2.stopped,pos225_2.started,pos225_2.stopped,pos270_2.started,pos270_2.stopped,pos315_2.started,pos315_2.stopped,response_2.started,response_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,7.956166800002393,None,space,1.0985844000024372,12.915857899999537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[0, 0, 0]","[1, -1, 1]","[0, 0, 0]","[0, 0, 0]","[-1, -1, 1]","[-1, -1, 1]",315,3,2,0,0,0,0,0,,,,,,,,,,,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,14.09741799999756,19.097288500001014,21.096876900002826,None,0.33796296296296297,-0.22592592592592592,1,0,0,7.013685699996131,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[1, 1, -1]","[1, -1, -1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, -1]","[-1, 1, -1]",315,3,2,1,0,1,1,1,,,,,,,,,,,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,23.78590570000233,28.79401009999856,30.77649360000214,None,0.30185185185185187,-0.15925925925925927,1,0,0,7.012619020002603,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[1, 1, -1]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1, -1, -1]","[0, 0, 0]","[1, 1, -1]",90,3,2,2,0,2,2,2,,,,,,,,,,,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,32.27661760000046,37.29061509999883,39.27365779999673,None,0.012037037037037037,0.36944444444444446,1,0,0,7.010754460003227,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, -1]","[-1, 1, -1]","[-1, -1, 1]","[0, 0, 0]","[-1, -1, 1]",270,3,2,3,0,3,3,3,,,,,,,,,,,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,41.25456049999775,46.254538799999864,48.253974899998866,None,-0.030555555555555555,-0.375,1,0,0,6.999000919997343,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[-1, -1, 1]","[1, 1, -1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]",135,3,2,4,0,4,4,4,,,,,,,,,,,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,50.53765430000203,55.55112099999678,57.53409680000186,None,-0.3074074074074074,0.3175925925925926,1,0,0,7.0078328600066015,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[1, -1, 1]","[-1, 1, 1]","[0, 0, 0]","[1, -1, 1]",225,3,2,5,0,5,5,5,,,,,,,,,,,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,59.055085200001486,64.06493229999614,66.04822669999703,None,-0.24814814814814815,-0.23333333333333334,1,0,0,7.000914059994102,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[-1, -1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[1, 1, 1]","[0, 0, 0]","[-1, -1, 1]",45,3,2,6,0,6,6,6,,,,,,,,,,,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,69.39732940000249,74.41172730000108,76.39455070000258,None,0.2722222222222222,0.3388888888888889,1,0,0,7.013684559999092,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, 1]","[1, 1, -1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, -1]","[1, 1, -1]",180,3,2,7,0,7,7,7,,,,,,,,,,,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,78.15115209999931,83.15868559999944,85.14106439999887,None,-0.42407407407407405,0.04351851851851852,1,0,0,7.012307020006119,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
"[1, 1, -1]","[1, -1, 1]","[-1, 1, -1]","[-1, -1, 1]","[-1, 1, 1]","[1, -1, -1]","[1, 1, 1]","[0, 0, 0]","[-1, 1, 1]",180,7,2,0,0,8,8,8,,,,,,,,,,,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,86.90820070000336,91.92237410000234,93.8881251999992,None,-0.016666666666666666,-0.35462962962962963,1,0,0,7.002227160010079,None,,,,,,,,,,,,,,,,,,,,,,,,,,dave,2021_Apr_08_2343,working memory,3.2.3,59.948552152485895,
