Color0,Color45,Color90,Color135,Color180,Color225,Color270,Color315,Cueresp,target_angle,load,delay,trial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,pos0.started,pos0.stopped,pos45.started,pos45.stopped,pos90.started,pos90.stopped,pos135.started,pos135.stopped,pos180.started,pos180.stopped,pos225.started,pos225.stopped,pos270.started,pos270.stopped,pos315.started,pos315.stopped,response.started,response.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text.started,text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,7.066066400002455,None,space,6.411277200000768,12.023353999997198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,lauris,2021_Apr_08_2357,working memory,3.2.3,59.988362257274076,
"[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[0, 0, 0]","[1, -1, 1]","[0, 0, 0]","[0, 0, 0]","[-1, -1, 1]","[-1, -1, 1]",315,3,2,0,0,0,0,0,,,,,,,,,,,18.504569799995807,23.51927450000221,18.504569799995807,23.51927450000221,18.504569799995807,23.51927450000221,18.504569799995807,23.51927450000221,18.504569799995807,23.51927450000221,18.504569799995807,23.51927450000221,18.504569799995807,23.51927450000221,18.504569799995807,23.51927450000221,25.501666099997237,None,0.3416666666666667,-0.25555555555555554,1,0,0,7.011069839994889,None,18.504569799995807,None,lauris,2021_Apr_08_2357,working memory,3.2.3,59.988362257274076,
"[1, 1, -1]","[1, -1, -1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, -1]","[-1, 1, -1]",315,3,2,1,0,1,1,1,,,,,,,,,,,27.122805400002107,32.13246120000258,27.122805400002107,32.13246120000258,27.122805400002107,32.13246120000258,27.122805400002107,32.13246120000258,27.122805400002107,32.13246120000258,27.122805400002107,32.13246120000258,27.122805400002107,32.13246120000258,27.122805400002107,32.13246120000258,34.11512539999967,None,0.25462962962962965,-0.2601851851851852,1,0,0,6.999048709993076,None,27.122805400002107,None,lauris,2021_Apr_08_2357,working memory,3.2.3,59.988362257274076,
"[0, 0, 0]","[0, 0, 0]","[1, 1, -1]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1, -1, -1]","[0, 0, 0]","[1, 1, -1]",90,3,2,2,0,2,2,2,,,,,,,,,,,36.09837949999928,41.11292390000017,36.09837949999928,41.11292390000017,36.09837949999928,41.11292390000017,36.09837949999928,41.11292390000017,36.09837949999928,41.11292390000017,36.09837949999928,41.11292390000017,36.09837949999928,41.11292390000017,36.09837949999928,41.11292390000017,43.07973949999723,None,-0.002777777777777778,0.3851851851851852,1,0,0,7.004220910006552,None,36.09837949999928,None,lauris,2021_Apr_08_2357,working memory,3.2.3,59.988362257274076,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, -1]","[-1, 1, -1]","[-1, -1, 1]","[0, 0, 0]","[-1, -1, 1]",270,3,2,3,0,3,3,3,,,,,,,,,,,44.54828329999873,49.559962799998175,44.54828329999873,49.559962799998175,44.54828329999873,49.559962799998175,44.54828329999873,49.559962799998175,44.54828329999873,49.559962799998175,44.54828329999873,49.559962799998175,44.54828329999873,49.559962799998175,44.54828329999873,49.559962799998175,51.543179100001,None,0.012962962962962963,-0.3638888888888889,1,0,0,7.004730010005005,None,44.54828329999873,None,lauris,2021_Apr_08_2357,working memory,3.2.3,59.988362257274076,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[-1, -1, 1]","[1, 1, -1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]",135,3,2,4,0,4,4,4,,,,,,,,,,,53.30922339999961,58.32351619999827,53.30922339999961,58.32351619999827,53.30922339999961,58.32351619999827,53.30922339999961,58.32351619999827,53.30922339999961,58.32351619999827,53.30922339999961,58.32351619999827,53.30922339999961,58.32351619999827,53.30922339999961,58.32351619999827,60.28994170000078,None,-0.22962962962962963,0.2638888888888889,1,0,0,7.0042587100033415,None,53.30922339999961,None,lauris,2021_Apr_08_2357,working memory,3.2.3,59.988362257274076,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[1, -1, 1]","[-1, 1, 1]","[0, 0, 0]","[1, -1, 1]",225,3,2,5,0,5,5,5,,,,,,,,,,,61.464001300002565,66.47056409999641,61.464001300002565,66.47056409999641,61.464001300002565,66.47056409999641,61.464001300002565,66.47056409999641,61.464001300002565,66.47056409999641,61.464001300002565,66.47056409999641,61.464001300002565,66.47056409999641,61.464001300002565,66.47056409999641,68.45369770000252,None,-0.24444444444444444,-0.2351851851851852,1,0,0,7.0115961199990124,None,61.464001300002565,None,lauris,2021_Apr_08_2357,working memory,3.2.3,59.988362257274076,
"[0, 0, 0]","[-1, -1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-1, 1, 1]","[1, 1, 1]","[0, 0, 0]","[-1, -1, 1]",45,3,2,6,0,6,6,6,,,,,,,,,,,69.92052590000094,74.93452709999838,69.92052590000094,74.93452709999838,69.92052590000094,74.93452709999838,69.92052590000094,74.93452709999838,69.92052590000094,74.93452709999838,69.92052590000094,74.93452709999838,69.92052590000094,74.93452709999838,69.92052590000094,74.93452709999838,76.90058889999636,None,0.22870370370370371,0.2740740740740741,1,0,0,7.002762010000879,None,69.92052590000094,None,lauris,2021_Apr_08_2357,working memory,3.2.3,59.988362257274076,
"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, -1, 1]","[1, 1, -1]","[0, 0, 0]","[0, 0, 0]","[-1, 1, -1]","[1, 1, -1]",180,3,2,7,0,7,7,7,,,,,,,,,,,78.07217710000259,83.08229539999593,78.07217710000259,83.08229539999593,78.07217710000259,83.08229539999593,78.07217710000259,83.08229539999593,78.07217710000259,83.08229539999593,78.07217710000259,83.08229539999593,78.07217710000259,83.08229539999593,78.07217710000259,83.08229539999593,85.0816302999956,None,-0.4287037037037037,0.03425925925925926,1,0,0,7.015207510004984,None,78.07217710000259,None,lauris,2021_Apr_08_2357,working memory,3.2.3,59.988362257274076,
"[1, 1, -1]","[1, -1, 1]","[-1, 1, -1]","[-1, -1, 1]","[-1, 1, 1]","[1, -1, -1]","[1, 1, 1]","[0, 0, 0]","[-1, 1, 1]",180,7,2,0,0,8,8,8,,,,,,,,,,,88.398234399996,93.41190949999873,88.398234399996,93.41190949999873,88.398234399996,93.41190949999873,88.398234399996,93.41190949999873,88.398234399996,93.41190949999873,88.398234399996,93.41190949999873,88.398234399996,93.41190949999873,88.398234399996,93.41190949999873,95.39449859999877,None,-0.45092592592592595,0.013888888888888888,1,0,0,7.006222309995792,None,88.398234399996,None,lauris,2021_Apr_08_2357,working memory,3.2.3,59.988362257274076,
